#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Active Threads Per Warp,Instruction Mix,Dependency-Attributed Samples,Live Registers
,lit.slang,,,,,,,,,
1,import modules.common;,,,,,,,,,,,,
2,import modules.pbr;,,,,,,,,,,,,
3,import modules.voxel;,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,"[shader(""vertex"")]",,,,,,,,,,,,
6,"VertexOutput vertMain(uint vertexID : SV_VertexID, uint instanceID : SV_InstanceID, uint drawID : SV_DrawIndex)",,,,,,,,,,,,
7,{,,,,,,,,,,,,
8,"return litVertMain(vertexID, instanceID, drawID);",,,,,,,,,,,,
9,},,,,,,,,,,,,
10,,,,,,,,,,,,,
11,struct FragmentOutput,,,,,,,,,,,,
12,{,,,,,,,,,,,,
13,float4 color : SV_Target0;,,,,,,,,,,,,
14,float4 roughness_metal : SV_Target1;,,,,,,,,,,,,
15,float4 worldNormal : SV_Target2;,,,,,,,,,,,,
16,};,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,"[shader(""fragment"")]",,,,,,,,,,,,
19,FragmentOutput fragMain(VertexOutput input),,,,,,,,,,,,
20,{,,,,,,,,,,,,
21,FragmentOutput output;,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,LitInstanceData inst = pc.litInstanceData[input.instanceID];,73033,73033,MIO Throttle,25101,Wait,11445,Short Scoreboard,10868,30,39,1752605,58
24,,,,,,,,,,,,,
25,bool flipNormal  = (inst.materialFlags & (1u << 0)) != 0;,,,,,,,,,,,,
26,bool hasAlbedo   = (inst.materialFlags & (1u << 1)) != 0;,2975,2975,Branch Resolving,2020,Wait,623,Selected,243,30,1,,61
27,bool hasRoughness= (inst.materialFlags & (1u << 2)) != 0;,1426,1426,Wait,886,Selected,247,Branch Resolving,212,29,1,,59
28,bool hasMetallic = (inst.materialFlags & (1u << 3)) != 0;,3233,3233,Branch Resolving,2021,Wait,662,Miscellaneous,321,30,1,,58
29,bool hasNormal   = (inst.materialFlags & (1u << 4)) != 0;,32936,32936,Long Scoreboard,31946,Miscellaneous,727,Selected,244,30,1,,56
30,bool alphaClip   = (inst.materialFlags & (1u << 5)) != 0;,345,345,Selected,345,,,,,30,1,,61
31,,,,,,,,,,,,,
32,float3 N;,,,,,,,,,,,,
33,float3 normalMap;,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,const SamplerState sampler = samplers[pc.litPassData.samplerIndex];,4033,4033,Miscellaneous,1733,Branch Resolving,648,Wait,536,30,3,239989,38
36,,,,,,,,,,,,,
37,if(hasNormal) {,2824,2824,Wait,2555,Selected,204,Not Selected,60,1,1,,56
38,"normalMap = textures[inst.normalTextureIndex].Sample(sampler, input.texCoord).rgb;",264945,264945,Long Scoreboard,250054,Short Scoreboard,5823,Wait,5170,30,14,249811,59
39,},,,,,,,,,,,,
40,,,,,,,,,,,,,
41,"float4 albedo = float4(1.0, 1.0, 1.0, 1.0);",,,,,,,,,,,,
42,if(hasAlbedo) {,4398,4398,Wait,1930,Selected,1815,Miscellaneous,254,8,7,7400,61
43,"albedo = textures[inst.albedoTextureIndex].Sample(sampler, input.texCoord);",15464,15464,Short Scoreboard,6842,Wait,5075,Selected,1509,30,7,244189,60
44,},,,,,,,,,,,,
45,if (alphaClip && albedo.a < inst.alphaCutoff),2572,2572,Wait,2320,Selected,188,Not Selected,58,1,1,,59
46,discard;,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,"float4 roughness = float4(inst.roughness, inst.roughness, inst.roughness, 1.0);",,,,,,,,,,,,
50,if(hasRoughness) {,2736,2736,Wait,1830,Selected,823,Not Selected,52,28,4,558,59
